# Time-averaged data for fix avgstress
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
670000 -0.497174 -25.9714 -21.7144 169.455 29.4111 -198.866
672000 -12.6554 101.321 -19.8023 206.746 -27.9034 -178.842
674000 -94.9401 -29.6171 0.731233 182.393 27.7367 -210.13
676000 -53.6884 6.93679 67.3807 -21.1258 4.67978 16.446
678000 -9.02643 -6.97749 -13.535 101.12 -8.62241 -92.4973
680000 -49.2179 113.259 -41.8835 78.7411 -41.7354 -37.0058
682000 -72.8872 196.239 -13.2382 110.247 -16.6351 -93.6119
684000 179.457 116.262 -108.643 130.814 -43.4769 -87.3368
686000 172.011 131.725 -107.742 -55.2033 31.8976 23.3057
688000 127.066 76.2806 -92.6759 23.8867 94.4458 -118.333
690000 173.424 61.7892 -29.1695 18.332 -79.9859 61.6539
692000 -70.7637 106.547 -110.287 -63.0771 -52.158 115.235
694000 41.1957 119.136 -138.664 -86.8531 -28.1154 114.969
696000 15.1289 156.824 22.6246 26.2482 7.90232 -34.1505
698000 112.894 215.872 -21.0795 85.63 82.7578 -168.388
700000 112.793 93.9895 0.218337 76.28 24.938 -101.218
702000 125.951 108.8 38.0996 122.209 76.2602 -198.47
704000 65.8963 18.3384 68.2878 107.922 -7.61316 -100.308
706000 131.592 79.5687 34.352 160.114 -7.51475 -152.599
708000 102.142 56.4029 -47.8405 -49.6224 137.468 -87.8454
710000 -17.6344 204.345 27.7297 89.7548 245.909 -335.664
712000 -2.24865 107.262 -74.0171 57.2984 137.401 -194.7
714000 57.5909 63.4919 2.05355 -124.689 166.541 -41.8519
716000 80.4314 -2.61876 -1.30622 -41.2938 90.2288 -48.935
718000 226.263 12.4794 -35.1401 31.4404 -50.8573 19.4169
720000 41.5537 35.3994 -37.6484 25.2115 -100.782 75.5706
722000 119.521 -92.3308 19.054 90.6872 -50.9435 -39.7436
724000 50.6426 -31.5883 -133.46 101.139 -26.2718 -74.867
726000 61.6713 -169.881 -103.412 21.1542 -54.0584 32.9042
728000 -4.90787 -80.0757 7.5805 23.5423 -36.0321 12.4898
730000 96.5001 23.7633 10.0318 -1.12738 -89.0051 90.1324
732000 -69.4344 27.4037 -41.0643 -11.095 -50.2557 61.3507
734000 66.8529 -23.0314 -59.8666 -21.3605 -62.7003 84.0608
736000 1.13819 -64.0452 67.578 11.6518 -116.175 104.523
738000 -157.188 -9.27232 -83.4843 -18.8503 -139.929 158.779
740000 -62.2666 14.9961 -128.711 92.4595 -6.75993 -85.6996
742000 147.369 61.0305 55.3011 83.7816 16.4695 -100.251
